time,0.xpos,0.ypos,0.xvel,0.yvel,0.mass,1.xpos,1.ypos,1.xvel,1.yvel,1.mass,2.xpos,2.ypos,2.xvel,2.yvel,2.mass,time_limit,
790.000000,10.287297,0.007047,0.026044,0.000027,5999999999999999899336704.000000,384399154.468741,789999.420768,-2.140585,999.997800,72999999999999997902848.000000,13656610.122828,2087390.626625,7207.435433,2511.216327,20000.000000,1000000000.000000,
800.000000,10.549383,0.007318,0.026373,0.000027,5999999999999999899336704.000000,384399132.927413,799999.398493,-2.167681,999.997744,72999999999999997902848.000000,13728581.173645,2112486.964451,7186.812451,2508.053494,20000.000000,1000000000.000000,
810.000000,10.814766,0.007596,0.026703,0.000028,5999999999999999899336704.000000,384399111.115126,809999.375653,-2.194777,999.997688,72999999999999997902848.000000,13800347.119158,2137551.741658,7166.413667,2504.904208,20000.000000,1000000000.000000,
820.000000,11.083445,0.007881,0.027033,0.000029,5999999999999999899336704.000000,384399089.031878,819999.352242,-2.221873,999.997630,72999999999999997902848.000000,13871910.180400,2162585.093846,7146.234911,2501.768493,20000.000000,1000000000.000000,
830.000000,11.355422,0.008173,0.027362,0.000030,5999999999999999899336704.000000,384399066.677671,829999.328254,-2.248969,999.997572,72999999999999997902848.000000,13943272.537242,2187587.156822,7126.272119,2498.646368,20000.000000,1000000000.000000,
840.000000,11.630695,0.008472,0.027692,0.000030,5999999999999999899336704.000000,384399044.052505,839999.303680,-2.276065,999.997513,72999999999999997902848.000000,14014436.329468,2212558.066531,7106.521337,2495.537841,20000.000000,1000000000.000000,
850.000000,11.909264,0.008778,0.028022,0.000031,5999999999999999899336704.000000,384399021.156378,849999.278514,-2.303161,999.997454,72999999999999997902848.000000,14085403.657811,2237497.959002,7086.978709,2492.442920,20000.000000,1000000000.000000,
860.000000,12.191130,0.009092,0.028351,0.000032,5999999999999999899336704.000000,384398997.989292,859999.252749,-2.330257,999.997393,72999999999999997902848.000000,14156176.584959,2262406.970292,7067.640480,2489.361605,20000.000000,1000000000.000000,
870.000000,12.476293,0.009412,0.028681,0.000032,5999999999999999899336704.000000,384398974.551246,869999.226378,-2.357353,999.997332,72999999999999997902848.000000,14226757.136522,2287285.236435,7048.502990,2486.293890,20000.000000,1000000000.000000,
880.000000,12.764753,0.009741,0.029011,0.000033,5999999999999999899336704.000000,384398950.842241,879999.199394,-2.384449,999.997271,72999999999999997902848.000000,14297147.301973,2312132.893390,7029.562670,2483.239765,20000.000000,1000000000.000000,
890.000000,13.056509,0.010077,0.029340,0.000034,5999999999999999899336704.000000,384398926.862276,889999.171789,-2.411544,999.997208,72999999999999997902848.000000,14367349.035555,2336950.077000,7010.816043,2480.199218,20000.000000,1000000000.000000,
900.000000,13.351562,0.010420,0.029670,0.000035,5999999999999999899336704.000000,384398902.611351,899999.143557,-2.438640,999.997145,72999999999999997902848.000000,14437364.257157,2361736.922946,6992.259716,2477.172229,20000.000000,1000000000.000000,
910.000000,13.649911,0.010771,0.030000,0.000036,5999999999999999899336704.000000,384398878.089467,909999.114691,-2.465736,999.997081,72999999999999997902848.000000,14507194.853168,2386493.566707,6973.890380,2474.158777,20000.000000,1000000000.000000,
920.000000,13.951558,0.011130,0.030329,0.000036,5999999999999999899336704.000000,384398853.296623,919999.085183,-2.492832,999.997017,72999999999999997902848.000000,14576842.677299,2411220.143524,6955.704809,2471.158836,20000.000000,1000000000.000000,
930.000000,14.256501,0.011497,0.030659,0.000037,5999999999999999899336704.000000,384398828.232820,929999.055026,-2.519928,999.996952,72999999999999997902848.000000,14646309.551381,2435916.788363,6937.699852,2468.172376,20000.000000,1000000000.000000,
940.000000,14.564740,0.011872,0.030989,0.000038,5999999999999999899336704.000000,384398802.898057,939999.024214,-2.547024,999.996886,72999999999999997902848.000000,14715597.266133,2460583.635880,6919.872437,2465.199366,20000.000000,1000000000.000000,
950.000000,14.876277,0.012255,0.031318,0.000039,5999999999999999899336704.000000,384398777.292334,949998.992740,-2.574120,999.996819,72999999999999997902848.000000,14784707.581916,2485220.820396,6902.219564,2462.239770,20000.000000,1000000000.000000,
960.000000,15.191110,0.012646,0.031648,0.000040,5999999999999999899336704.000000,384398751.415652,959998.960595,-2.601216,999.996752,72999999999999997902848.000000,14853642.229458,2509828.475860,6884.738306,2459.293549,20000.000000,1000000000.000000,
970.000000,15.509239,0.013045,0.031978,0.000040,5999999999999999899336704.000000,384398725.268010,969998.927775,-2.628312,999.996684,72999999999999997902848.000000,14922402.910550,2534406.735829,6867.425804,2456.360663,20000.000000,1000000000.000000,
980.000000,15.830666,0.013453,0.032307,0.000041,5999999999999999899336704.000000,384398698.849409,979998.894270,-2.655408,999.996615,72999999999999997902848.000000,14990991.298735,2558955.733436,6850.279265,2453.441069,20000.000000,1000000000.000000,
990.000000,16.155389,0.013869,0.032637,0.000042,5999999999999999899336704.000000,384398672.159849,989998.860074,-2.682504,999.996546,72999999999999997902848.000000,15059409.039966,2583475.601370,6833.295964,2450.534721,20000.000000,1000000000.000000,
1000.000000,16.483408,0.014294,0.032967,0.000043,5999999999999999899336704.000000,384398645.199329,999998.825181,-2.709600,999.996476,72999999999999997902848.000000,15127657.753246,2607966.471855,6816.473236,2447.641571,20000.000000,1000000000.000000,
1010.000000,16.814725,0.014727,0.033296,0.000044,5999999999999999899336704.000000,384398617.967849,1009998.789583,-2.736696,999.996405,72999999999999997902848.000000,15195739.031251,2632428.476625,6799.808480,2444.761570,20000.000000,1000000000.000000,
1020.000000,17.149338,0.015169,0.033626,0.000045,5999999999999999899336704.000000,384398590.465410,1019998.753273,-2.763792,999.996333,72999999999999997902848.000000,15263654.440933,2656861.746907,6783.299153,2441.894665,20000.000000,1000000000.000000,
1030.000000,17.487247,0.015619,0.033956,0.000045,5999999999999999899336704.000000,384398562.692012,1029998.716244,-2.790888,999.996261,72999999999999997902848.000000,15331405.524105,2681266.413404,6766.942769,2439.040804,20000.000000,1000000000.000000,
1040.000000,17.828454,0.016078,0.034285,0.000046,5999999999999999899336704.000000,384398534.647654,1039998.678489,-2.817984,999.996188,72999999999999997902848.000000,15398993.798011,2705642.606276,6750.736899,2436.199931,20000.000000,1000000000.000000,
1050.000000,18.172957,0.016547,0.034615,0.000047,5999999999999999899336704.000000,384398506.332337,1049998.640000,-2.845080,999.996114,72999999999999997902848.000000,15466420.755876,2729990.455125,6734.679169,2433.371990,20000.000000,1000000000.000000,
1060.000000,18.520756,0.017024,0.034945,0.000048,5999999999999999899336704.000000,384398477.746060,1059998.600772,-2.872176,999.996040,72999999999999997902848.000000,15533687.867443,2754310.088983,6718.767257,2430.556923,20000.000000,1000000000.000000,
1070.000000,18.871853,0.017510,0.035274,0.000049,5999999999999999899336704.000000,384398448.888824,1069998.560796,-2.899272,999.995965,72999999999999997902848.000000,15600796.579494,2778601.636295,6702.998892,2427.754671,20000.000000,1000000000.000000,
1080.000000,19.226246,0.018006,0.035604,0.000050,5999999999999999899336704.000000,384398419.760629,1079998.520067,-2.926367,999.995889,72999999999999997902848.000000,15667748.316355,2802865.224909,6687.371853,2424.965173,20000.000000,1000000000.000000,
1090.000000,19.583935,0.018511,0.035934,0.000051,5999999999999999899336704.000000,384398390.361475,1089998.478576,-2.953463,999.995813,72999999999999997902848.000000,15734544.480387,2827100.982063,6671.883968,2422.188368,20000.000000,1000000000.000000,
1100.000000,19.944922,0.019025,0.036263,0.000052,5999999999999999899336704.000000,384398360.691361,1099998.436316,-2.980559,999.995735,72999999999999997902848.000000,15801186.452464,2851309.034378,6656.533111,2419.424194,20000.000000,1000000000.000000,
1110.000000,20.309205,0.019548,0.036593,0.000053,5999999999999999899336704.000000,384398330.750288,1109998.393281,-3.007655,999.995658,72999999999999997902848.000000,15867675.592438,2875489.507843,6641.317204,2416.672588,20000.000000,1000000000.000000,
1120.000000,20.676785,0.020082,0.036923,0.000054,5999999999999999899336704.000000,384398300.538255,1119998.349464,-3.034751,999.995579,72999999999999997902848.000000,15934013.239589,2899642.527810,6626.234211,2413.933484,20000.000000,1000000000.000000,
1130.000000,21.047661,0.020624,0.037252,0.000055,5999999999999999899336704.000000,384398270.055264,1129998.304858,-3.061847,999.995500,72999999999999997902848.000000,16000200.713065,2923768.218985,6611.282141,2411.206819,20000.000000,1000000000.000000,
1140.000000,21.421834,0.021177,0.037582,0.000056,5999999999999999899336704.000000,384398239.301313,1139998.259454,-3.088943,999.995420,72999999999999997902848.000000,16066239.312308,2947866.705423,6596.459043,2408.492525,20000.000000,1000000000.000000,
1150.000000,21.799304,0.021739,0.037912,0.000057,5999999999999999899336704.000000,384398208.276403,1149998.213247,-3.116039,999.995339,72999999999999997902848.000000,16132130.317470,2971938.110515,6581.763010,2405.790538,20000.000000,1000000000.000000,
1160.000000,22.180070,0.022311,0.038241,0.000058,5999999999999999899336704.000000,384398176.980533,1159998.166230,-3.143135,999.995257,72999999999999997902848.000000,16197874.989815,2995982.556989,6567.192172,2403.100791,20000.000000,1000000000.000000,
1170.000000,22.564133,0.022893,0.038571,0.000059,5999999999999999899336704.000000,384398145.413705,1169998.118395,-3.170231,999.995175,72999999999999997902848.000000,16263474.572115,3020000.166900,6552.744699,2400.423215,20000.000000,1000000000.000000,
