time,0.xpos,0.ypos,0.xvel,0.yvel,0.mass,1.xpos,1.ypos,1.xvel,1.yvel,1.mass,time_limit,
8240.000000,-423917.928723,-82645.050849,-180.421727,-42.602106,5970000000000000281018368.000000,-27008918.387635,-40774925.854985,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8250.000000,-425722.202589,-83071.158549,-180.433030,-42.619411,5970000000000000281018368.000000,-27108513.763779,-40944650.893484,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8260.000000,-427526.589018,-83497.438624,-180.444240,-42.636581,5970000000000000281018368.000000,-27208109.139923,-41114375.931983,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8270.000000,-429331.087076,-83923.889729,-180.455357,-42.653617,5970000000000000281018368.000000,-27307704.516067,-41284100.970483,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8280.000000,-431135.695844,-84350.510533,-180.466382,-42.670521,5970000000000000281018368.000000,-27407299.892211,-41453826.008982,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8290.000000,-432940.414411,-84777.299719,-180.477317,-42.687294,5970000000000000281018368.000000,-27506895.268356,-41623551.047482,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8300.000000,-434745.241878,-85204.255989,-180.488162,-42.703938,5970000000000000281018368.000000,-27606490.644500,-41793276.085981,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8310.000000,-436550.177359,-85631.378057,-180.498919,-42.720454,5970000000000000281018368.000000,-27706086.020644,-41963001.124480,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8320.000000,-438355.219975,-86058.664652,-180.509590,-42.736844,5970000000000000281018368.000000,-27805681.396788,-42132726.162980,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8330.000000,-440160.368863,-86486.114518,-180.520174,-42.753109,5970000000000000281018368.000000,-27905276.772932,-42302451.201479,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8340.000000,-441965.623164,-86913.726415,-180.530673,-42.769250,5970000000000000281018368.000000,-28004872.149076,-42472176.239979,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8350.000000,-443770.982035,-87341.499113,-180.541088,-42.785269,5970000000000000281018368.000000,-28104467.525220,-42641901.278478,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8360.000000,-445576.444639,-87769.431400,-180.551419,-42.801168,5970000000000000281018368.000000,-28204062.901364,-42811626.316978,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8370.000000,-447382.010151,-88197.522076,-180.561669,-42.816947,5970000000000000281018368.000000,-28303658.277509,-42981351.355477,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8380.000000,-449187.677755,-88625.769954,-180.571838,-42.832609,5970000000000000281018368.000000,-28403253.653653,-43151076.393976,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8390.000000,-450993.446646,-89054.173860,-180.581927,-42.848153,5970000000000000281018368.000000,-28502849.029797,-43320801.432476,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8400.000000,-452799.316027,-89482.732635,-180.591936,-42.863583,5970000000000000281018368.000000,-28602444.405941,-43490526.470975,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8410.000000,-454605.285110,-89911.445131,-180.601867,-42.878898,5970000000000000281018368.000000,-28702039.782085,-43660251.509475,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8420.000000,-456411.353118,-90340.310213,-180.611721,-42.894100,5970000000000000281018368.000000,-28801635.158229,-43829976.547974,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8430.000000,-458217.519282,-90769.326760,-180.621499,-42.909191,5970000000000000281018368.000000,-28901230.534373,-43999701.586473,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8440.000000,-460023.782841,-91198.493662,-180.631201,-42.924171,5970000000000000281018368.000000,-29000825.910517,-44169426.624973,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8450.000000,-461830.143045,-91627.809820,-180.640828,-42.939042,5970000000000000281018368.000000,-29100421.286662,-44339151.663472,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8460.000000,-463636.599150,-92057.274148,-180.650381,-42.953806,5970000000000000281018368.000000,-29200016.662806,-44508876.701972,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8470.000000,-465443.150423,-92486.885574,-180.659861,-42.968462,5970000000000000281018368.000000,-29299612.038950,-44678601.740471,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8480.000000,-467249.796137,-92916.643035,-180.669270,-42.983013,5970000000000000281018368.000000,-29399207.415094,-44848326.778970,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8490.000000,-469056.535576,-93346.545479,-180.678606,-42.997459,5970000000000000281018368.000000,-29498802.791238,-45018051.817470,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8500.000000,-470863.368030,-93776.591868,-180.687873,-43.011802,5970000000000000281018368.000000,-29598398.167382,-45187776.855969,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8510.000000,-472670.292797,-94206.781172,-180.697069,-43.026042,5970000000000000281018368.000000,-29697993.543526,-45357501.894469,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8520.000000,-474477.309184,-94637.112374,-180.706197,-43.040181,5970000000000000281018368.000000,-29797588.919670,-45527226.932968,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8530.000000,-476284.416505,-95067.584468,-180.715256,-43.054221,5970000000000000281018368.000000,-29897184.295814,-45696951.971468,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8540.000000,-478091.614083,-95498.196457,-180.724248,-43.068161,5970000000000000281018368.000000,-29996779.671959,-45866677.009967,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8550.000000,-479898.901246,-95928.947356,-180.733173,-43.082003,5970000000000000281018368.000000,-30096375.048103,-46036402.048466,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8560.000000,-481706.277331,-96359.836189,-180.742033,-43.095748,5970000000000000281018368.000000,-30195970.424247,-46206127.086966,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8570.000000,-483513.741684,-96790.861993,-180.750827,-43.109397,5970000000000000281018368.000000,-30295565.800391,-46375852.125465,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8580.000000,-485321.293654,-97222.023811,-180.759556,-43.122951,5970000000000000281018368.000000,-30395161.176535,-46545577.163965,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8590.000000,-487128.932601,-97653.320698,-180.768222,-43.136411,5970000000000000281018368.000000,-30494756.552679,-46715302.202464,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8600.000000,-488936.657890,-98084.751721,-180.776825,-43.149778,5970000000000000281018368.000000,-30594351.928823,-46885027.240963,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8610.000000,-490744.468893,-98516.315953,-180.785365,-43.163053,5970000000000000281018368.000000,-30693947.304967,-47054752.279463,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8620.000000,-492552.364991,-98948.012478,-180.793844,-43.176237,5970000000000000281018368.000000,-30793542.681112,-47224477.317962,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8630.000000,-494360.345568,-99379.840389,-180.802261,-43.189331,5970000000000000281018368.000000,-30893138.057256,-47394202.356462,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8640.000000,-496168.410017,-99811.798791,-180.810618,-43.202335,5970000000000000281018368.000000,-30992733.433400,-47563927.394961,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8650.000000,-497976.557737,-100243.886793,-180.818916,-43.215251,5970000000000000281018368.000000,-31092328.809544,-47733652.433461,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8660.000000,-499784.788135,-100676.103518,-180.827154,-43.228080,5970000000000000281018368.000000,-31191924.185688,-47903377.471960,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8670.000000,-501593.100621,-101108.448095,-180.835334,-43.240822,5970000000000000281018368.000000,-31291519.561832,-48073102.510459,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8680.000000,-503401.494613,-101540.919662,-180.843455,-43.253478,5970000000000000281018368.000000,-31391114.937976,-48242827.548959,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8690.000000,-505209.969536,-101973.517368,-180.851520,-43.266049,5970000000000000281018368.000000,-31490710.314120,-48412552.587458,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8700.000000,-507018.524821,-102406.240367,-180.859528,-43.278537,5970000000000000281018368.000000,-31590305.690264,-48582277.625958,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8710.000000,-508827.159903,-102839.087824,-180.867479,-43.290941,5970000000000000281018368.000000,-31689901.066409,-48752002.664457,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8720.000000,-510635.874224,-103272.058911,-180.875376,-43.303263,5970000000000000281018368.000000,-31789496.442553,-48921727.702956,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8730.000000,-512444.667232,-103705.152810,-180.883217,-43.315503,5970000000000000281018368.000000,-31889091.818697,-49091452.741456,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8740.000000,-514253.538382,-104138.368709,-180.891004,-43.327663,5970000000000000281018368.000000,-31988687.194841,-49261177.779955,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8750.000000,-516062.487132,-104571.705805,-180.898737,-43.339743,5970000000000000281018368.000000,-32088282.570985,-49430902.818455,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
