time,0.xpos,0.ypos,0.zpos,0.xvel,0.yvel,0.zvel,0.mass,1.xpos,1.ypos,1.zpos,1.xvel,1.yvel,1.zvel,1.mass,time_limit,
108000.000000,20980.278096,23781.717600,-183805.733325,0.562626,0.425873,-3.312080,5970000000000000281018368.000000,133295354.189277,48067737.467886,-384000000.000000,1204.286715,-34.602115,0.000000,73477000000000000786432.000000,5000000000.000000,
109200.000000,21662.316183,24295.237908,-187799.992089,0.574119,0.429992,-3.345000,5970000000000000281018368.000000,134739938.652777,48026013.986582,-384000000.000000,1203.352910,-34.936782,0.000000,73477000000000000786432.000000,5000000000.000000,
110400.000000,22358.196500,24813.690399,-191833.687621,0.585696,0.434093,-3.377807,5970000000000000281018368.000000,136183398.436182,47983889.765786,-384000000.000000,1202.412263,-35.270013,0.000000,73477000000000000786432.000000,5000000000.000000,
111600.000000,23068.019441,25337.053837,-195906.684624,0.597356,0.438177,-3.410502,5970000000000000281018368.000000,137625725.382560,47941366.530890,-384000000.000000,1201.464863,-35.601804,0.000000,73477000000000000786432.000000,5000000000.000000,
112800.000000,23791.884072,25865.306909,-200018.847251,0.609098,0.442242,-3.443083,5970000000000000281018368.000000,139066911.442939,47898446.013796,-384000000.000000,1200.510801,-35.932149,0.000000,73477000000000000786432.000000,5000000000.000000,
114000.000000,24529.888127,26398.428219,-204170.039121,0.620922,0.446290,-3.475551,5970000000000000281018368.000000,140506948.676171,47855129.952636,-384000000.000000,1199.550166,-36.261044,0.000000,73477000000000000786432.000000,5000000000.000000,
115200.000000,25282.128021,26936.396304,-208360.123345,0.632825,0.450320,-3.507904,5970000000000000281018368.000000,141945829.248781,47811420.091507,-384000000.000000,1198.583048,-36.588482,0.000000,73477000000000000786432.000000,5000000000.000000,
116400.000000,26048.698842,27479.189627,-212588.962539,0.644806,0.454332,-3.540142,5970000000000000281018368.000000,143383545.434780,47767318.180199,-384000000.000000,1197.609537,-36.914460,0.000000,73477000000000000786432.000000,5000000000.000000,
117600.000000,26829.694359,28026.786585,-216856.418852,0.656866,0.458326,-3.572266,5970000000000000281018368.000000,144820089.615471,47722825.973926,-384000000.000000,1196.629721,-37.238973,0.000000,73477000000000000786432.000000,5000000000.000000,
118800.000000,27625.207023,28579.165513,-221162.353980,0.669001,0.462302,-3.604274,5970000000000000281018368.000000,146255454.279216,47677945.233067,-384000000.000000,1195.643690,-37.562017,0.000000,73477000000000000786432.000000,5000000000.000000,
120000.000000,28435.327970,29136.304682,-225506.629190,0.681213,0.466260,-3.636166,5970000000000000281018368.000000,147689632.021200,47632677.722902,-384000000.000000,1194.651533,-37.883588,0.000000,73477000000000000786432.000000,5000000000.000000,
121200.000000,29260.147024,29698.182311,-229889.105335,0.693498,0.470200,-3.667942,5970000000000000281018368.000000,149122615.543160,47587025.213351,-384000000.000000,1193.653338,-38.203682,0.000000,73477000000000000786432.000000,5000000000.000000,
122400.000000,30099.752704,30264.776561,-234309.642881,0.705857,0.474121,-3.699601,5970000000000000281018368.000000,150554397.653099,47540989.478721,-384000000.000000,1192.649194,-38.522296,0.000000,73477000000000000786432.000000,5000000000.000000,
123600.000000,30954.232222,30836.065544,-238768.101917,0.718288,0.478024,-3.731144,5970000000000000281018368.000000,151984971.264984,47494572.297448,-384000000.000000,1191.639189,-38.839426,0.000000,73477000000000000786432.000000,5000000000.000000,
124800.000000,31823.671490,31412.027324,-243264.342182,0.730790,0.481909,-3.762570,5970000000000000281018368.000000,153414329.398414,47447775.451852,-384000000.000000,1190.623411,-39.155069,0.000000,73477000000000000786432.000000,5000000000.000000,
126000.000000,32708.155125,31992.639919,-247798.223079,0.743361,0.485776,-3.793879,5970000000000000281018368.000000,154842465.178283,47400600.727880,-384000000.000000,1189.601948,-39.469222,0.000000,73477000000000000786432.000000,5000000000.000000,
127200.000000,33607.766453,32577.881307,-252369.603698,0.756002,0.489624,-3.825070,5970000000000000281018368.000000,156269371.834409,47353049.914867,-384000000.000000,1188.574886,-39.781884,0.000000,73477000000000000786432.000000,5000000000.000000,
128400.000000,34522.587512,33167.729427,-256978.342829,0.768711,0.493453,-3.856143,5970000000000000281018368.000000,157695042.701159,47305124.805291,-384000000.000000,1187.542314,-40.093050,0.000000,73477000000000000786432.000000,5000000000.000000,
129600.000000,35452.699059,33762.162182,-261624.298984,0.781486,0.497265,-3.887098,5970000000000000281018368.000000,159119471.217048,47256827.194532,-384000000.000000,1186.504316,-40.402719,0.000000,73477000000000000786432.000000,5000000000.000000,
130800.000000,36398.180575,34361.157442,-266307.330418,0.794327,0.501058,-3.917935,5970000000000000281018368.000000,160542650.924324,47208158.880637,-384000000.000000,1185.460980,-40.710888,0.000000,73477000000000000786432.000000,5000000000.000000,
