time,xpos,ypos,xvel,yvel,object_mass,time_limit,total_energy,
202.000000,1342465.698118,8578075.736963,5853.615477,-14739.477614,100000000000000004764729344.000000,1000000.000000,-642799999.999417,
203.000000,1348312.449594,8563292.488625,5839.866663,-14827.063026,100000000000000004764729344.000000,1000000.000000,-642799999.999405,
204.000000,1354145.389616,8548421.522522,5825.992363,-14914.913605,100000000000000004764729344.000000,1000000.000000,-642799999.999391,
205.000000,1359964.392078,8533462.572098,5811.991334,-15003.032137,100000000000000004764729344.000000,1000000.000000,-642799999.999378,
206.000000,1365769.329622,8518415.367992,5797.862316,-15091.421440,100000000000000004764729344.000000,1000000.000000,-642799999.999364,
207.000000,1371560.073621,8503279.638011,5783.604028,-15180.084367,100000000000000004764729344.000000,1000000.000000,-642799999.999350,
208.000000,1377336.494155,8488055.107089,5769.215169,-15269.023806,100000000000000004764729344.000000,1000000.000000,-642799999.999336,
209.000000,1383098.459995,8472741.497253,5754.694418,-15358.242683,100000000000000004764729344.000000,1000000.000000,-642799999.999321,
210.000000,1388845.838579,8457338.527591,5740.040432,-15447.743956,100000000000000004764729344.000000,1000000.000000,-642799999.999305,
211.000000,1394578.495993,8441845.914211,5725.251847,-15537.530623,100000000000000004764729344.000000,1000000.000000,-642799999.999290,
212.000000,1400296.296946,8426263.370203,5710.327279,-15627.605718,100000000000000004764729344.000000,1000000.000000,-642799999.999274,
213.000000,1405999.104754,8410590.605607,5695.265320,-15717.972315,100000000000000004764729344.000000,1000000.000000,-642799999.999258,
214.000000,1411686.781312,8394827.327369,5680.064540,-15808.633525,100000000000000004764729344.000000,1000000.000000,-642799999.999241,
215.000000,1417359.187076,8378973.239303,5664.723486,-15899.592500,100000000000000004764729344.000000,1000000.000000,-642799999.999224,
216.000000,1423016.181035,8363028.042051,5649.240682,-15990.852430,100000000000000004764729344.000000,1000000.000000,-642799999.999206,
217.000000,1428657.620691,8346991.433046,5633.614628,-16082.416550,100000000000000004764729344.000000,1000000.000000,-642799999.999188,
218.000000,1434283.362033,8330863.106464,5617.843798,-16174.288133,100000000000000004764729344.000000,1000000.000000,-642799999.999170,
219.000000,1439893.259513,8314642.753187,5601.926644,-16266.470497,100000000000000004764729344.000000,1000000.000000,-642799999.999151,
220.000000,1445487.166022,8298330.060757,5585.861590,-16358.967002,100000000000000004764729344.000000,1000000.000000,-642799999.999132,
221.000000,1451064.932861,8281924.713336,5569.647036,-16451.781052,100000000000000004764729344.000000,1000000.000000,-642799999.999112,
222.000000,1456626.409718,8265426.391656,5553.281354,-16544.916097,100000000000000004764729344.000000,1000000.000000,-642799999.999091,
223.000000,1462171.444643,8248834.772979,5536.762891,-16638.375633,100000000000000004764729344.000000,1000000.000000,-642799999.999070,
224.000000,1467699.884013,8232149.531047,5520.089964,-16732.163200,100000000000000004764729344.000000,1000000.000000,-642799999.999049,
225.000000,1473211.572514,8215370.336039,5503.260865,-16826.282389,100000000000000004764729344.000000,1000000.000000,-642799999.999027,
226.000000,1478706.353107,8198496.854517,5486.273855,-16920.736837,100000000000000004764729344.000000,1000000.000000,-642799999.999004,
227.000000,1484184.066998,8181528.749383,5469.127166,-17015.530231,100000000000000004764729344.000000,1000000.000000,-642799999.998981,
228.000000,1489644.553613,8164465.679827,5451.819001,-17110.666309,100000000000000004764729344.000000,1000000.000000,-642799999.998957,
229.000000,1495087.650565,8147307.301275,5434.347532,-17206.148858,100000000000000004764729344.000000,1000000.000000,-642799999.998933,
