time,xpos,ypos,xvel,yvel,object_mass,time_limit,total_energy,
1120.000000,-19239437.746744,17734762.989311,-18091.053014,3682.048552,100000000000000004764729344.000000,1000000.000000,-84600370.805765,
1130.000000,-19419991.007057,17771254.945708,-18019.702285,3616.517113,100000000000000004764729344.000000,1000000.000000,-84600370.806179,
1140.000000,-19599833.841662,17807096.776689,-17948.966332,3552.019244,100000000000000004764729344.000000,1000000.000000,-84600370.806573,
1150.000000,-19778972.352385,17842298.692582,-17878.835995,3488.530008,100000000000000004764729344.000000,1000000.000000,-84600370.806947,
1160.000000,-19957412.550258,17876870.658400,-17809.302276,3426.025273,100000000000000004764729344.000000,1000000.000000,-84600370.807303,
1170.000000,-20135160.357134,17910822.401733,-17740.356336,3364.481680,100000000000000004764729344.000000,1000000.000000,-84600370.807642,
1180.000000,-20312221.607273,17944163.420314,-17671.989495,3303.876613,100000000000000004764729344.000000,1000000.000000,-84600370.807965,
1190.000000,-20488602.048910,17976902.989295,-17604.193227,3244.188167,100000000000000004764729344.000000,1000000.000000,-84600370.808272,
1200.000000,-20664307.345802,18009050.168230,-17536.959163,3185.395123,100000000000000004764729344.000000,1000000.000000,-84600370.808564,
1210.000000,-20839343.078748,18040613.807792,-17470.279081,3127.476919,100000000000000004764729344.000000,1000000.000000,-84600370.808843,
1220.000000,-21013714.747088,18071602.556220,-17404.144909,3070.413626,100000000000000004764729344.000000,1000000.000000,-84600370.809109,
1230.000000,-21187427.770176,18102024.865529,-17338.548721,3014.185924,100000000000000004764729344.000000,1000000.000000,-84600370.809363,
1240.000000,-21360487.488831,18131888.997478,-17273.482737,2958.775079,100000000000000004764729344.000000,1000000.000000,-84600370.809605,
1250.000000,-21532899.166761,18161203.029311,-17208.939315,2904.162918,100000000000000004764729344.000000,1000000.000000,-84600370.809836,
1260.000000,-21704667.991966,18189974.859285,-17144.910953,2850.331813,100000000000000004764729344.000000,1000000.000000,-84600370.810056,
1270.000000,-21875799.078109,18218212.211990,-17081.390286,2797.264656,100000000000000004764729344.000000,1000000.000000,-84600370.810267,
1280.000000,-22046297.465873,18245922.643474,-17018.370083,2744.944842,100000000000000004764729344.000000,1000000.000000,-84600370.810468,
1290.000000,-22216168.124286,18273113.546179,-16955.843243,2693.356252,100000000000000004764729344.000000,1000000.000000,-84600370.810661,
1300.000000,-22385415.952020,18299792.153694,-16893.802796,2642.483233,100000000000000004764729344.000000,1000000.000000,-84600370.810844,
1310.000000,-22554045.778676,18325965.545339,-16832.241897,2592.310581,100000000000000004764729344.000000,1000000.000000,-84600370.811020,
1320.000000,-22722062.366031,18351640.650588,-16771.153826,2542.823528,100000000000000004764729344.000000,1000000.000000,-84600370.811189,
1330.000000,-22889470.409272,18376824.253324,-16710.531984,2494.007721,100000000000000004764729344.000000,1000000.000000,-84600370.811350,
1340.000000,-23056274.538202,18401522.995950,-16650.369894,2445.849214,100000000000000004764729344.000000,1000000.000000,-84600370.811504,
1350.000000,-23222479.318420,18425743.383358,-16590.661192,2398.334449,100000000000000004764729344.000000,1000000.000000,-84600370.811652,
1360.000000,-23388089.252487,18449491.786752,-16531.399632,2351.450245,100000000000000004764729344.000000,1000000.000000,-84600370.811793,
1370.000000,-23553108.781057,18472774.447340,-16472.579079,2305.183781,100000000000000004764729344.000000,1000000.000000,-84600370.811929,
